,Survived,Sex,socioeconomicstatus,embarkedport,agegroup,familymembers,hasfamily
603,0,male,lower,Southampton,Elder,0,0
604,1,male,upper,Cherbourg,Adult,0,0
605,0,male,lower,Southampton,Adult,1,1
606,0,male,lower,Southampton,Adult,0,0
607,1,male,upper,Southampton,Adult,0,0
608,1,female,middle,Cherbourg,Young Adult,3,1
609,1,female,upper,Southampton,Adult,0,0
610,0,female,lower,Southampton,Adult,6,1
611,0,male,lower,Southampton,Adult,0,0
612,1,female,lower,Queenstown,Adult,1,1
613,0,male,lower,Queenstown,Adult,0,0
614,0,male,lower,Southampton,Adult,0,0
615,1,female,middle,Southampton,Young Adult,3,1
616,0,male,lower,Southampton,Adult,2,1
617,0,female,lower,Southampton,Adult,1,1
618,1,female,middle,Southampton,Adolescent,3,1
619,0,male,middle,Southampton,Adult,0,0
620,0,male,lower,Cherbourg,Adult,1,1
621,1,male,upper,Southampton,Elder,1,1
622,1,male,lower,Cherbourg,Young Adult,2,1
623,0,male,lower,Southampton,Young Adult,0,0
624,0,male,lower,Southampton,Young Adult,0,0
625,0,male,upper,Southampton,Elder,0,0
626,0,male,middle,Queenstown,Elder,0,0
627,1,female,upper,Southampton,Young Adult,0,0
628,0,male,lower,Southampton,Adult,0,0
629,0,male,lower,Queenstown,Adult,0,0
630,1,male,upper,Southampton,Elder,0,0
631,0,male,lower,Southampton,Elder,0,0
632,1,male,upper,Cherbourg,Adult,0,0
633,0,male,upper,Southampton,Adult,0,0
634,0,female,lower,Southampton,Adolescent,5,1
635,1,female,middle,Southampton,Adult,0,0
636,0,male,lower,Southampton,Adult,0,0
637,0,male,middle,Southampton,Adult,2,1
638,0,female,lower,Southampton,Elder,5,1
639,0,male,lower,Southampton,Adult,1,1
640,0,male,lower,Southampton,Young Adult,0,0
641,1,female,upper,Cherbourg,Young Adult,0,0
642,0,female,lower,Southampton,Adolescent,5,1
643,1,male,lower,Southampton,Adult,0,0
644,1,female,lower,Cherbourg,Adolescent,3,1
645,1,male,upper,Cherbourg,Elder,1,1
646,0,male,lower,Southampton,Young Adult,0,0
647,1,male,upper,Cherbourg,Elder,0,0
648,0,male,lower,Southampton,Adult,0,0
649,1,female,lower,Southampton,Young Adult,0,0
650,0,male,lower,Southampton,Adult,0,0
651,1,female,middle,Southampton,Teenager,1,1
652,0,male,lower,Southampton,Young Adult,0,0
653,1,female,lower,Queenstown,Adult,0,0
654,0,female,lower,Queenstown,Teenager,0,0
655,0,male,middle,Southampton,Young Adult,2,1
656,0,male,lower,Southampton,Adult,0,0
657,0,female,lower,Queenstown,Adult,2,1
658,0,male,middle,Southampton,Young Adult,0,0
659,0,male,upper,Cherbourg,Elder,2,1
660,1,male,upper,Southampton,Elder,2,1
661,0,male,lower,Cherbourg,Adult,0,0
662,0,male,upper,Southampton,Elder,0,0
663,0,male,lower,Southampton,Adult,0,0
664,1,male,lower,Southampton,Young Adult,1,1
665,0,male,middle,Southampton,Adult,2,1
666,0,male,middle,Southampton,Young Adult,0,0
667,0,male,lower,Southampton,Adult,0,0
668,0,male,lower,Southampton,Elder,0,0
669,1,female,upper,Southampton,Adult,1,1
670,1,female,middle,Southampton,Adult,2,1
671,0,male,upper,Southampton,Adult,1,1
672,0,male,middle,Southampton,Elder,0,0
673,1,male,middle,Southampton,Adult,0,0
674,0,male,middle,Southampton,Adult,0,0
675,0,male,lower,Southampton,Teenager,0,0
676,0,male,lower,Southampton,Young Adult,0,0
677,1,female,lower,Southampton,Teenager,0,0
678,0,female,lower,Southampton,Elder,7,1
679,1,male,upper,Cherbourg,Adult,1,1
680,0,female,lower,Queenstown,Adult,0,0
681,1,male,upper,Cherbourg,Adult,0,0
682,0,male,lower,Southampton,Young Adult,0,0
683,0,male,lower,Southampton,Teenager,7,1
684,0,male,middle,Southampton,Elder,2,1
685,0,male,middle,Cherbourg,Young Adult,3,1
686,0,male,lower,Southampton,Teenager,5,1
687,0,male,lower,Southampton,Young Adult,0,0
688,0,male,lower,Southampton,Teenager,0,0
689,1,female,upper,Southampton,Teenager,1,1
690,1,male,upper,Southampton,Adult,1,1
691,1,female,lower,Cherbourg,Adolescent,1,1
692,1,male,lower,Southampton,Adult,0,0
693,0,male,lower,Cherbourg,Young Adult,0,0
694,0,male,upper,Southampton,Elder,0,0
695,0,male,middle,Southampton,Elder,0,0
696,0,male,lower,Southampton,Elder,0,0
697,1,female,lower,Queenstown,Adult,0,0
698,0,male,upper,Cherbourg,Elder,2,1
699,0,male,lower,Southampton,Elder,0,0
700,1,female,upper,Cherbourg,Teenager,1,1
701,1,male,upper,Southampton,Adult,0,0
702,0,female,lower,Cherbourg,Teenager,1,1
703,0,male,lower,Queenstown,Young Adult,0,0
704,0,male,lower,Southampton,Adult,1,1
705,0,male,middle,Southampton,Adult,0,0
706,1,female,middle,Southampton,Elder,0,0
707,1,male,upper,Southampton,Elder,0,0
708,1,female,upper,Southampton,Young Adult,0,0
709,1,male,lower,Cherbourg,Adult,2,1
710,1,female,upper,Cherbourg,Young Adult,0,0
711,0,male,upper,Southampton,Adult,0,0
712,1,male,upper,Southampton,Elder,1,1
713,0,male,lower,Southampton,Adult,0,0
714,0,male,middle,Southampton,Elder,0,0
715,0,male,lower,Southampton,Young Adult,0,0
716,1,female,upper,Cherbourg,Adult,0,0
717,1,female,middle,Southampton,Adult,0,0
718,0,male,lower,Queenstown,Adult,0,0
719,0,male,lower,Southampton,Adult,0,0
720,1,female,middle,Southampton,Adolescent,1,1
721,0,male,lower,Southampton,Teenager,1,1
722,0,male,middle,Southampton,Adult,0,0
723,0,male,middle,Southampton,Elder,0,0
724,1,male,upper,Southampton,Adult,1,1
725,0,male,lower,Southampton,Young Adult,0,0
726,1,female,middle,Southampton,Adult,3,1
727,1,female,lower,Queenstown,Adult,0,0
728,0,male,middle,Southampton,Young Adult,1,1
729,0,female,lower,Southampton,Young Adult,1,1
730,1,female,upper,Southampton,Adult,0,0
731,0,male,lower,Cherbourg,Teenager,0,0
732,0,male,middle,Southampton,Adult,0,0
733,0,male,middle,Southampton,Young Adult,0,0
734,0,male,middle,Southampton,Young Adult,0,0
735,0,male,lower,Southampton,Adult,0,0
736,0,female,lower,Southampton,Elder,4,1
737,1,male,upper,Cherbourg,Adult,0,0
738,0,male,lower,Southampton,Adult,0,0
739,0,male,lower,Southampton,Adult,0,0
740,1,male,upper,Southampton,Adult,0,0
741,0,male,upper,Southampton,Adult,1,1
742,1,female,upper,Cherbourg,Young Adult,4,1
743,0,male,lower,Southampton,Young Adult,1,1
744,1,male,lower,Southampton,Adult,0,0
745,0,male,upper,Southampton,Elder,2,1
746,0,male,lower,Southampton,Teenager,2,1
747,1,female,middle,Southampton,Adult,0,0
748,0,male,upper,Southampton,Young Adult,1,1
749,0,male,lower,Queenstown,Adult,0,0
750,1,female,middle,Southampton,Adolescent,2,1
751,1,male,lower,Southampton,Adolescent,1,1
752,0,male,lower,Southampton,Adult,0,0
753,0,male,lower,Southampton,Young Adult,0,0
754,1,female,middle,Southampton,Elder,3,1
755,1,male,middle,Southampton,Adolescent,2,1
756,0,male,lower,Southampton,Adult,0,0
757,0,male,middle,Southampton,Teenager,0,0
758,0,male,lower,Southampton,Adult,0,0
759,1,female,upper,Southampton,Adult,0,0
760,0,male,lower,Southampton,Adult,0,0
761,0,male,lower,Southampton,Elder,0,0
762,1,male,lower,Cherbourg,Young Adult,0,0
763,1,female,upper,Southampton,Adult,3,1
764,0,male,lower,Southampton,Teenager,0,0
765,1,female,upper,Southampton,Elder,1,1
766,0,male,upper,Cherbourg,Adult,0,0
767,0,female,lower,Queenstown,Adult,0,0
768,0,male,lower,Queenstown,Adult,1,1
769,0,male,lower,Southampton,Adult,0,0
770,0,male,lower,Southampton,Young Adult,0,0
771,0,male,lower,Southampton,Elder,0,0
772,0,female,middle,Southampton,Elder,0,0
773,0,male,lower,Cherbourg,Adult,0,0
774,1,female,middle,Southampton,Elder,4,1
775,0,male,lower,Southampton,Teenager,0,0
776,0,male,lower,Queenstown,Adult,0,0
777,1,female,lower,Southampton,Adolescent,0,0
778,0,male,lower,Queenstown,Adult,0,0
779,1,female,upper,Southampton,Elder,1,1
780,1,female,lower,Cherbourg,Teenager,0,0
781,1,female,upper,Southampton,Teenager,1,1
782,0,male,upper,Southampton,Adult,0,0
783,0,male,lower,Southampton,Adult,3,1
784,0,male,lower,Southampton,Young Adult,0,0
785,0,male,lower,Southampton,Young Adult,0,0
786,1,female,lower,Southampton,Teenager,0,0
787,0,male,lower,Queenstown,Adolescent,5,1
788,1,male,lower,Southampton,Adolescent,3,1
789,0,male,upper,Cherbourg,Elder,0,0
790,0,male,lower,Queenstown,Adult,0,0
791,0,male,middle,Southampton,Teenager,0,0
792,0,female,lower,Southampton,Adult,10,1
793,0,male,upper,Cherbourg,Adult,0,0
794,0,male,lower,Southampton,Young Adult,0,0
795,0,male,middle,Southampton,Adult,0,0
796,1,female,upper,Southampton,Elder,0,0
797,1,female,lower,Southampton,Adult,0,0
798,0,male,lower,Cherbourg,Adult,0,0
799,0,female,lower,Southampton,Adult,2,1
800,0,male,middle,Southampton,Adult,0,0
801,1,female,middle,Southampton,Adult,2,1
802,1,male,upper,Southampton,Teenager,3,1
803,1,male,lower,Cherbourg,Adolescent,1,1
804,1,male,lower,Southampton,Adult,0,0
805,0,male,lower,Southampton,Adult,0,0
806,0,male,upper,Southampton,Adult,0,0
807,0,female,lower,Southampton,Teenager,0,0
808,0,male,middle,Southampton,Adult,0,0
809,1,female,upper,Southampton,Adult,1,1
810,0,male,lower,Southampton,Adult,0,0
811,0,male,lower,Southampton,Adult,0,0
812,0,male,middle,Southampton,Adult,0,0
813,0,female,lower,Southampton,Adolescent,6,1
814,0,male,lower,Southampton,Adult,0,0
815,0,male,upper,Southampton,Adult,0,0
816,0,female,lower,Southampton,Young Adult,0,0
817,0,male,middle,Cherbourg,Adult,2,1
818,0,male,lower,Southampton,Elder,0,0
819,0,male,lower,Southampton,Adolescent,5,1
820,1,female,upper,Southampton,Elder,2,1
821,1,male,lower,Southampton,Adult,0,0
822,0,male,upper,Southampton,Adult,0,0
823,1,female,lower,Southampton,Adult,1,1
824,0,male,lower,Southampton,Adolescent,5,1
825,0,male,lower,Queenstown,Adult,0,0
826,0,male,lower,Southampton,Adult,0,0
827,1,male,middle,Cherbourg,Adolescent,2,1
828,1,male,lower,Queenstown,Adult,0,0
829,1,female,upper,,Elder,0,0
830,1,female,lower,Cherbourg,Teenager,1,1
831,1,male,middle,Southampton,Adolescent,2,1
832,0,male,lower,Cherbourg,Adult,0,0
833,0,male,lower,Southampton,Young Adult,0,0
834,0,male,lower,Southampton,Teenager,0,0
835,1,female,upper,Cherbourg,Adult,2,1
836,0,male,lower,Southampton,Young Adult,0,0
837,0,male,lower,Southampton,Adult,0,0
838,1,male,lower,Southampton,Adult,0,0
839,1,male,upper,Cherbourg,Adult,0,0
840,0,male,lower,Southampton,Young Adult,0,0
841,0,male,middle,Southampton,Teenager,0,0
842,1,female,upper,Cherbourg,Adult,0,0
843,0,male,lower,Cherbourg,Adult,0,0
844,0,male,lower,Southampton,Teenager,0,0
845,0,male,lower,Southampton,Elder,0,0
846,0,male,lower,Southampton,Adult,10,1
847,0,male,lower,Cherbourg,Adult,0,0
848,0,male,middle,Southampton,Adult,1,1
849,1,female,upper,Cherbourg,Adult,1,1
850,0,male,lower,Southampton,Adolescent,6,1
851,0,male,lower,Southampton,Elder,0,0
852,0,female,lower,Cherbourg,Adolescent,2,1
853,1,female,upper,Southampton,Teenager,1,1
854,0,female,middle,Southampton,Elder,1,1
855,1,female,lower,Southampton,Teenager,1,1
856,1,female,upper,Southampton,Elder,2,1
857,1,male,upper,Southampton,Elder,0,0
858,1,female,lower,Cherbourg,Young Adult,3,1
859,0,male,lower,Cherbourg,Adult,0,0
860,0,male,lower,Southampton,Elder,2,1
861,0,male,middle,Southampton,Young Adult,1,1
862,1,female,upper,Southampton,Elder,0,0
863,0,female,lower,Southampton,Adult,10,1
864,0,male,middle,Southampton,Young Adult,0,0
865,1,female,middle,Southampton,Elder,0,0
866,1,female,middle,Cherbourg,Adult,1,1
867,0,male,upper,Southampton,Adult,0,0
868,0,male,lower,Southampton,Adult,0,0
869,1,male,lower,Southampton,Adolescent,2,1
870,0,male,lower,Southampton,Adult,0,0
871,1,female,upper,Southampton,Elder,2,1
872,0,male,upper,Southampton,Adult,0,0
873,0,male,lower,Southampton,Elder,0,0
874,1,female,middle,Cherbourg,Adult,1,1
875,1,female,lower,Cherbourg,Teenager,0,0
876,0,male,lower,Southampton,Young Adult,0,0
877,0,male,lower,Southampton,Young Adult,0,0
878,0,male,lower,Southampton,Adult,0,0
879,1,female,upper,Cherbourg,Elder,1,1
880,1,female,middle,Southampton,Young Adult,1,1
881,0,male,lower,Southampton,Adult,0,0
882,0,female,lower,Southampton,Young Adult,0,0
883,0,male,middle,Southampton,Adult,0,0
884,0,male,lower,Southampton,Young Adult,0,0
885,0,female,lower,Queenstown,Adult,5,1
886,0,male,middle,Southampton,Adult,0,0
887,1,female,upper,Southampton,Young Adult,0,0
888,0,female,lower,Southampton,Adult,3,1
889,1,male,upper,Cherbourg,Adult,0,0
890,0,male,lower,Queenstown,Adult,0,0
